SMARTS,trivialname,group
[#8][#6H1]([#6])[#8],Acetal,functional_group
[#6]#[#6],Acetylene,functional_group
"[CX3](=O)[OH,O-]",Carboxylic acid,functional_group
"[#6](=O)-[Cl,Br,I]",Acid*halide,functional_group
"[#8H1,#8H0-]",Hydroxy,functional_group
[#6H1X3]=O,Aldehyde,functional_group
[#6]=[#6]=[#6],Allene,functional_group
[#6!R](=O)[#7X3!R],Amide,functional_group
[#7+X4][#8-],Amine*oxide,functional_group
"[#6](=O)-,:[#8]-,:C=O",Anhydride,functional_group
[#6]-[#7]=[#7+]=[#7-],Azide,functional_group
C1-N-C1,Aziridine,functional_group
[N$(*[#6])]=[N$(*[#6])],Azo,functional_group
[BrX1],Bromide,functional_group
"S(=O)(=O)-[O&H1,O&-]",Sulfonate,functional_group
[#6](=O)([NX3])-O,Carbamate,functional_group
[C+],Carbonium,functional_group
[ClX1],Chloride,functional_group
[#6]#N,Nitrile,functional_group
[#6]=[N+]=[N-],Diazo,functional_group
[S$(*[#6])]-[S$(*[#6])],Disulfide,functional_group
[#6;H1](-[S;D2])-[S;D2],Dithioacetal,functional_group
[#6](-[#6])(-[#6])(-[S;D2])-[S;D2],Dithioketal,functional_group
[#6](=[#6])-N(-[#6])-[#6],Enamine,functional_group
[#6](=[#6])-O-[#6],Enol*ether,functional_group
[#6]1-S-[#6]1,Episulfide,functional_group
[#6]1-O-[#6]1,Epoxide,functional_group
"[#6H0!R](=O)-,:[#8!R$(*([#6!R])[#6!R])]",Ester,functional_group
[O!RX2H0],Ether,functional_group
[FX1],Fluoride,functional_group
"[#6](-[F,Cl,Br,I])-[F,Cl,Br,I]",Dihalide,functional_group
[OH1X2]**[OH1X2],Diol,functional_group
"[#6]-,:[#7]-[F,Cl,Br,I]",Haloamine,functional_group
"[#6](-[F,Cl,Br,I])-[O$([O;H]),$(O-[#6])]",Halohydrin,functional_group
"[#6;H1](-,:[#8]-,:[#6])-,:[O;H1]",Hemiacetal,functional_group
