# Usage of the SMARTS in these files is allowed only adhering to the CC-BY-ND license in this directory
SMARTS,trivialname,group
O=C1/C=C\C=C/C1=O,"1,2-Benzoquinone",biological
C1=CC(=O)C=CC1=O,"1,4-Benzoquinone",biological
O=C1c2ccccc2C(=O)cc1,"1,4-Naphthoquinone",biological
C1C(=O)NS1(=O)=O,3-Oxo-β-sultam,biological
O=P(O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n2cnc1c(ncnc12)N)[C@H](O)[C@@H]3O,ADP,biological
O=P(O)(O)OC[C@H]3O[C@@H](n2cnc1c(ncnc12)N)[C@H](O)[C@@H]3O,AMP,biological
O=P(O)(O)OP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n2cnc1c(ncnc12)N)[C@H](O)[C@@H]3O,ATP,biological
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,Acachidonic acid,biological
Nc1c2ncNc2ncn1,Adenine,biological
CC(C(=O)O)N,Alanine,biological
CC(C(=O)[N])N,Alanine-peptide,biological
[NH2]c1ccccc1,Aniline,biological
C(CC(C(=O)O)N)CNC(=N)N,Arginine,biological
C(CC(C(=O)[N])N)CNC(=N)N,Arginine-peptide,biological
O=C(N)CC(N)C(=O)O,Asparagine,biological
O=C(N)CC(N)C(=O)[N],Asparagine-peptide,biological
C(C(C(=O)O)N)C(=O)O,Aspartic acid,biological
C(C(C(=O)[N])N)C(=O)O,Aspartic acid-peptide,biological
OC(=O)CC(O)(C(=O)O)CC(=O)O,Citric acid,biological
O=C(NCCS)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n2cnc1c(ncnc12)N)[C@H](O)[C@@H]3OP(=O)(O)O,Coenzyme A,biological
C(C(C(=O)O)N)S,Cysteine,biological
C(C(C(=O)[N])N)S,Cysteine-peptide,biological
c1cc([nX2]c([nX3H1]1)=O)[NH2X3],Cytosine,biological
O=COCC1c2ccccc2-c2ccccc21,Fluorenylmethyloxycarbonyl,biological
O[C@H]1[C@H](O)[C@H](O[C@]1(O)CO)CO,Fructose,biological
C(=C/C(=O)O)\C(=O)O,Fumaric acid,biological
O[C@H]1[C@@H](O)[C@H](O[C@H](O)[C@@H]1O)CO,Galactose,biological
OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,Glucose,biological
C(CC(=O)O)C(C(=O)O)N,Glutamic acid,biological
C(CC(=O)O)C(C(=O)[N])N,Glutamic acid-peptide,biological
O=C(N)CCC(N)C(=O)O,Glutamine,biological
O=C(N)CCC(N)C(=O)[N],Glutamine-peptide,biological
C(C(=O)O)N,Glycine,biological
C(C(=O)[N])N,Glycine-peptide,biological
n1c2c(c(nc1N)=O)ncn2,Guanine,biological
C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O)NC(=NC2=O)N,Guanosine diphosphate,biological
O=C([C@H](CC1=CNC=N1)N)O,Histidine,biological
O=C([C@H](CC1=CNC=N1)N)[N],Histidine-peptide,biological
c1cc(ccc1O)O,Hydroquinone,biological
O=C(O)C(CC(=O)O)C(O)C(=O)O,Isocitric acid,biological
CC[C@H](C)C(C(=O)O)N,Isoleucine,biological
CC[C@H](C)C(C(=O)[N])N,Isoleucine-peptide,biological
C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O,Lactose,biological
CC(C)CC(C(=O)O)N,Leucine,biological
CC(C)CC(C(=O)[N])N,Leucine-peptide,biological
C(CCN)C[C@@H](C(=O)O)N,Lysine,biological
C(CCN)C[C@@H](C(=O)[N])N,Lysine-peptide,biological
O=C(O)CC(O)C(=O)O,Malic acid,biological
O=C(O)CC(=O)O,Malonic acid,biological
CSCCC(N)C(=O)O,Methionine,biological
CSCCC(N)C(=O)[N],Methionine-peptide,biological
O=C(N)c1ccc[n+](c1)[C@@H]2O[C@@H]([C@@H](O)[C@H]2O)COP([O-])(=O)OP(=O)([O-])OC[C@H]5O[C@@H](n4cnc3c(ncnc34)N)[C@H](O)[C@@H]5O,NAD+,biological
O=C(N)C1CC=C[N](C=1)[C@@H]2O[C@@H]([C@@H](O)[C@H]2O)COP([O-])(=O)OP(=O)([O-])OC[C@H]5O[C@@H](n4cnc3c(ncnc34)N)[C@H](O)[C@@H]5O,NADH,biological
c1cc(cnc1)C(=O)N,Nicotinamide,biological
O=C(O)C(=O)CC(=O)O,Oxaloacetic acid,biological
"[OH1,O-]c1ccccc1",Phenol,biological
c1ccc(cc1)CC(C(=O)O)N,Phenylalanine,biological
c1ccc(cc1)CC(C(=O)[N])N,Phenylalanine-peptide,biological
C1CC(NC1)C(=O)O,Proline,biological
C1CC(NC1)C(=O)[N],Proline-peptide,biological
C[C@@H]1CC=N[C@H]1C(=O)NCCCCC(C(=O)O)N,Pyrrolysine,biological
C[C@@H]1CC=N[C@H]1C(=O)NCCCCC(C(=O)[N])N,Pyrrolysine-peptide,biological
O=C(O)C(N)C[Se],Selenocysteine,biological
