# Usage of the SMARTS in these files is allowed only adhering to the CC-BY-ND license in this directory
SMARTS,trivialname,group
N1C2C(CC1)CCC2,"1,2,3,3a,4,5,6,6a-octahydrocyclopenta[b]pyrrole",cyclic
n1c2c(cc1)ccc2,"1,2,3,3a,4,5,6,6a-octahydrocyclopenta[b]pyrrole",cyclic
N1NCC2C1CCC2,"1,2,3,3a,4,5,6,6a-octahydrocyclopenta[c]pyrazole",cyclic
n1ncc2c1ccc2,"1,2,3,3a,4,5,6,6a-octahydrocyclopenta[c]pyrazole",cyclic
N1CC2C(C1)CCC2,"1,2,3,3a,4,5,6,6a-octahydrocyclopenta[c]pyrrole",cyclic
n1cc2c(c1)ccc2,"1,2,3,3a,4,5,6,6a-octahydrocyclopenta[c]pyrrole",cyclic
N1C2C(NC1)CCC2,"1,2,3,3a,4,5,6,6a-octahydrocyclopenta[d]imidazole",cyclic
n1c2c(nc1)ccc2,"1,2,3,3a,4,5,6,6a-octahydrocyclopenta[d]imidazole",cyclic
N1C2NCNC2NC1,"1,2,3,3a,4,5,6,6a-octahydroimidazo[4,5-d]imidazole",cyclic
C12C(CCC1)CCC2,"1,2,3,3a,4,5,6,6a-octahydropentalene",cyclic
c12c(ccc1)ccc2,"1,2,3,3a,4,5,6,6a-octahydropentalene",cyclic
N1NCC2C1NNC2,"1,2,3,3a,4,5,6,6a-octahydropyrazolo[3,4-c]pyrazole",cyclic
N1C2NCCC2CC1,"1,2,3,3a,4,5,6,6a-octahydropyrrolo[2,3-b]pyrrole",cyclic
N1C2C(CNC2)CC1,"1,2,3,3a,4,5,6,6a-octahydropyrrolo[2,3-c]pyrrole",cyclic
N1C2NCCC2NC1,"1,2,3,3a,4,5,6,6a-octahydropyrrolo[2,3-d]imidazole",cyclic
N1C2C(NCC2)CC1,"1,2,3,3a,4,5,6,6a-octahydropyrrolo[3,2-b]pyrrole",cyclic
N1NCC2NCCC12,"1,2,3,3a,4,5,6,6a-octahydropyrrolo[3,2-c]pyrazole",cyclic
N1NCC2C1CNC2,"1,2,3,3a,4,5,6,6a-octahydropyrrolo[3,4-c]pyrazole",cyclic
N1CC2C(C1)CNC2,"1,2,3,3a,4,5,6,6a-octahydropyrrolo[3,4-c]pyrrole",cyclic
n1cc2c(c1)cnc2,"1,2,3,3a,4,5,6,6a-octahydropyrrolo[3,4-c]pyrrole",cyclic
N1C2C(NC1)CNC2,"1,2,3,3a,4,5,6,6a-octahydropyrrolo[3,4-d]imidazole",cyclic
N1NC2C(N1)CNC2,"1,2,3,3a,4,5,6,6a-octahydropyrrolo[3,4-d]triazole",cyclic
C12C(CCC1)CCCCC2,"1,2,3,3a,4,5,6,7,8,8a-decahydroazulene",cyclic
N1C2C(CC1)CCCCC2,"1,2,3,3a,4,5,6,7,8,8a-decahydrocyclohepta[b]pyrrole",cyclic
N1CC2C(C1)CCCCC2,"1,2,3,3a,4,5,6,7,8,8a-decahydrocyclohepta[c]pyrrole",cyclic
N1NCC2C1CCNCC2,"1,2,3,3a,4,5,6,7,8,8a-decahydropyrazolo[3,4-d]azepine",cyclic
N1C2NCCCCC2CC1,"1,2,3,3a,4,5,6,7,8,8a-decahydropyrrolo[2,3-b]azepine",cyclic
N1C2C(CC1)CCCNC2,"1,2,3,3a,4,5,6,7,8,8a-decahydropyrrolo[2,3-c]azepine",cyclic
N1C2C(CC1)CCNCC2,"1,2,3,3a,4,5,6,7,8,8a-decahydropyrrolo[2,3-d]azepine",cyclic
N1C2C(NCCCC2)CC1,"1,2,3,3a,4,5,6,7,8,8a-decahydropyrrolo[3,2-b]azepine",cyclic
N1C2C(CNCCC2)CC1,"1,2,3,3a,4,5,6,7,8,8a-decahydropyrrolo[3,2-c]azepine",cyclic
N1CC2C(C1)CCCNC2,"1,2,3,3a,4,5,6,7,8,8a-decahydropyrrolo[3,4-c]azepine",cyclic
N1CC2C(C1)CCNCC2,"1,2,3,3a,4,5,6,7,8,8a-decahydropyrrolo[3,4-d]azepine",cyclic
N12NCCC1CNCC2,"1,2,3,3a,4,5,6,7-octahydropyrazolo[1,5-a]pyrazine",cyclic
N12NCCC1CCCC2,"1,2,3,3a,4,5,6,7-octahydropyrazolo[1,5-a]pyridine",cyclic
N12NCCC1NCCC2,"1,2,3,3a,4,5,6,7-octahydropyrazolo[1,5-a]pyrimidine",cyclic
N12NCCC2CCCN1,"1,2,3,3a,4,5,6,7-octahydropyrazolo[1,5-b]pyridazine",cyclic
N12NCCC1CCNC2,"1,2,3,3a,4,5,6,7-octahydropyrazolo[1,5-c]pyrimidine",cyclic
N12NNCC1CCCC2,"1,2,3,3a,4,5,6,7-octahydrotriazolo[1,5-a]pyridine",cyclic
O1C2NNCC2CCC1,"1,2,3,3a,4,5,6,7a-octahydropyrano[2,3-c]pyrazole",cyclic
O1CC2NCCC2CC1,"1,2,3,3a,4,5,7,7a-octahydropyrano[3,4-b]pyrrole",cyclic
S1CC2NCCC2CC1,"1,2,3,3a,4,5,7,7a-octahydrothiopyrano[3,4-b]pyrrole",cyclic
O1CC2C(CNC2)CC1,"1,2,3,3a,4,6,7,7a-octahydropyrano[3,4-c]pyrrole",cyclic
O1CC2C(NCC2)CC1,"1,2,3,3a,4,6,7,7a-octahydropyrano[4,3-b]pyrrole",cyclic
S1CC2C(CNC2)CC1,"1,2,3,3a,4,6,7,7a-octahydrothiopyrano[3,4-c]pyrrole",cyclic
S1CC2C(NCC2)CC1,"1,2,3,3a,4,6,7,7a-octahydrothiopyrano[4,3-b]pyrrole",cyclic
O1C2C(NCC2)CCC1,"1,2,3,3a,5,6,7,7a-octahydropyrano[3,2-b]pyrrole",cyclic
S1C2C(NCC2)CCC1,"1,2,3,3a,5,6,7,7a-octahydrothiopyrano[3,2-b]pyrrole",cyclic
N12NCCCC1CNC2,"1,2,3,4,4a,5,6,7-octahydroimidazo[1,5-b]pyridazine",cyclic
N12NCCCC1CCC2,"1,2,3,4,4a,5,6,7-octahydropyrrolo[1,2-b]pyridazine",cyclic
N12C(CCNC1)CCC2,"1,2,3,4,4a,5,6,7-octahydropyrrolo[1,2-c]pyrimidine",cyclic
N12NNCCC1CCC2,"1,2,3,4,4a,5,6,7-octahydropyrrolo[1,2-c]triazine",cyclic
O1CC2NCCNC2C1,"1,2,3,4,4a,5,7,7a-octahydrofuro[3,4-b]pyrazine",cyclic
O1CC2NCCCC2C1,"1,2,3,4,4a,5,7,7a-octahydrofuro[3,4-b]pyridine",cyclic
S1CC2NCCNC2C1,"1,2,3,4,4a,5,7,7a-octahydrothieno[3,4-b]pyrazine",cyclic
S1CC2NCCCC2C1,"1,2,3,4,4a,5,7,7a-octahydrothieno[3,4-b]pyridine",cyclic
N1C2C(NCCC1)CCC2,"1,2,3,4,5,5a,6,7,8,8a-decahydrocyclopenta[b][1,4]diazepine",cyclic
N1C2C(CCC2)CCCC1,"1,2,3,4,5,5a,6,7,8,8a-decahydrocyclopenta[b]azepine",cyclic
N1CC2C(CCC1)CCC2,"1,2,3,4,5,5a,6,7,8,8a-decahydrocyclopenta[c]azepine",cyclic
N1CCC2C(CC1)CCC2,"1,2,3,4,5,5a,6,7,8,8a-decahydrocyclopenta[d]azepine",cyclic
N1NCCC2C(C1)CCC2,"1,2,3,4,5,5a,6,7,8,8a-decahydrocyclopenta[d]diazepine",cyclic
N1C2C(CNCC1)CCC2,"1,2,3,4,5,5a,6,7,8,8a-decahydrocyclopenta[e][1,4]diazepine",cyclic
N1C2C(NCCNC2)CC1,"1,2,3,4,5,5a,6,7,8,8a-decahydropyrrolo[3,2-e][1,4]diazepine",cyclic
N1C2C(NCCC1)CNC2,"1,2,3,4,5,5a,6,7,8,8a-decahydropyrrolo[3,4-b][1,4]diazepine",cyclic
N1C2C(CNC2)CCCC1,"1,2,3,4,5,5a,6,7,8,8a-decahydropyrrolo[3,4-b]azepine",cyclic
N1C2C(CNC2)CNCC1,"1,2,3,4,5,5a,6,7,8,8a-decahydropyrrolo[3,4-e][1,4]diazepine",cyclic
N12C(NCCC2)CNC1,"1,2,3,4,6,7,8,8a-octahydroimidazo[1,5-a]pyrimidine",cyclic
N12C(CNCC1)CCC2,"1,2,3,4,6,7,8,8a-octahydropyrrolo[1,2-a]pyrazine",cyclic
N12C(NCCC1)CCC2,"1,2,3,4,6,7,8,8a-octahydropyrrolo[1,2-a]pyrimidine",cyclic
N12C(NNCC1)CCC2,"1,2,3,4,6,7,8,8a-octahydropyrrolo[2,1-c][1,2,4]triazine",cyclic
P1C=CNNC1,"1,2,3,4-tetrahydro-1,2,4-diazaphosphinine",cyclic
P1=CPCPC1,"1,2,3,4-tetrahydro-1,3,5-triphosphinine",cyclic
P1N=CNCC1,"1,2,3,4-tetrahydro-1,5,2-diazaphosphinine",cyclic
P1NC=NCC1,"1,2,3,4-tetrahydro-1,5,2-diazaphosphinine",cyclic
P1NNC=CC1,"1,2,3,4-tetrahydrodiazaphosphinine",cyclic
P1PCCC=C1,"1,2,3,4-tetrahydrodiphosphinine",cyclic
P1C=CCCC1,"1,2,3,4-tetrahydrophosphinine",cyclic
P1NNNC=C1,"1,2,3,4-tetrahydrotriazaphosphinine",cyclic
P1PC=CCP1,"1,2,3,4-tetrahydrotriphosphinine",cyclic
N12NCNC1CNCC2,"1,2,3,5,6,7,8,8a-octahydro-[1,2,4]triazolo[1,5-a]pyrazine",cyclic
N12NCNC1CCCC2,"1,2,3,5,6,7,8,8a-octahydro-[1,2,4]triazolo[1,5-a]pyridine",cyclic
N12C(NNC1)CNCC2,"1,2,3,5,6,7,8,8a-octahydro-[1,2,4]triazolo[4,3-a]pyrazine",cyclic
N12C(NNC1)CCCC2,"1,2,3,5,6,7,8,8a-octahydro-[1,2,4]triazolo[4,3-a]pyridine",cyclic
N12C(NCC1)CNCC2,"1,2,3,5,6,7,8,8a-octahydroimidazo[1,2-a]pyrazine",cyclic
N12C(NCC1)CCCC2,"1,2,3,5,6,7,8,8a-octahydroimidazo[1,2-a]pyridine",cyclic
N12C(NCC1)NCCC2,"1,2,3,5,6,7,8,8a-octahydroimidazo[1,2-a]pyrimidine",cyclic
